	LEXEME                  TOKEN
---------------------------------------
This is a Single Comment: Assignment statements
a			ID
=					=
2				Intedyer
;					;
b			ID
+=					+=
2				Intedyer
+					+
3				Intedyer
;					;
a			ID
=					=
b			ID
;					;
This is a Single Comment: Declaration statements
kar					kar
b			ID
;					;
int					int
num			ID
;					;
kar					kar
a			ID
;					;
karosa				karosa
float			ID
;					;
int					int
b			ID
=					=
45				Intedyer
+					+
4				Intedyer
+					+
7				Intedyer
+					+
9				Intedyer
+					+
10				Intedyer
;					;
int					int
b			ID
=					=
45				Intedyer
;					;
int					int
b			ID
(					(
int					int
a			ID
)					)
{					{
limbag				limbag
(					(
"Total: "		Literal
+					+
a			ID
)					)
;					;
}					}
This is a Single Comment: Input statement
k=					=
tanggap				tanggap
(					(
)					)
This is a Single Comment: Output statement
limbag				limbag
(					(
"Group 2"		Literal
)					)
;					;
limbag				limbag
(					(
"Numero: "		Literal
+					+
a			ID
*					*
b			ID
)					)
;					;
limbag				limbag
(					(
"Answer: "		Literal
+					+
x			ID
)					)
;					;
This is a Single Comment: Iterative statement
para				para
(					(
int					int
numero			ID
=					=
0				Intedyer
;					;
numero			ID
>					>
4				Intedyer
;					;
++					++
numero			ID
)					)
{					{
limbag				limbag
(					(
"Ang numero ay:"		Literal
)					)
;					;
}					}
habang				habang
(					(
numero			ID
<					<
2				Intedyer
)					)
{					{
limbag				limbag
(					(
"Numero"		Literal
)					)
;					;
--					--
numero			ID
}					}
This is a Single Comment:  Nested Iterative statement
para				para
(					(
int					int
numero			ID
=					=
0				Intedyer
;					;
numero			ID
>					>
4				Intedyer
;					;
++					++
numero			ID
)					)
{					{
para				para
(					(
int					int
numero			ID
=					=
0				Intedyer
;					;
numero			ID
>					>
4				Intedyer
;					;
++					++
numero			ID
)					)
{					{
limbag				limbag
(					(
"Ang numero ay:"		Literal
)					)
;					;
}					}
}					}
habang				habang
(					(
numero			ID
<					<
2				Intedyer
)					)
{					{
habang				habang
(					(
numero			ID
<					<
2				Intedyer
)					)
{					{
limbag				limbag
(					(
"Numero"		Literal
)					)
;					;
--					--
numero			ID
}					}
}					}
This is a Single Comment: Conditional statements
pag					pag
(					(
a			ID
*					*
b			ID
*					*
6				Intedyer
)					)
{					{
limbag				limbag
(					(
"tumpak"		Literal
)					)
;					;
}					}
pag					pag
(					(
a			ID
*					*
b			ID
)					)
{					{
limbag				limbag
(					(
"tumpak"		Literal
)					)
;					;
}					}
kapagdi				kapagdi
4				Intedyer
*					*
b			ID
)					)
{					{
limbag				limbag
(					(
"tumpak"		Literal
)					)
;					;
}					}
kapagdi				kapagdi
4				Intedyer
*					*
4				Intedyer
)					)
{					{
limbag				limbag
(					(
"tumpak"		Literal
)					)
;					;
}					}
pag					pag
(					(
a			ID
*					*
b			ID
*					*
6				Intedyer
)					)
{					{
limbag				limbag
(					(
"tumpak"		Literal
)					)
;					;
}					}
iba					iba
{					{
limbag				limbag
(					(
"huwad"		Literal
)					)
;					;
}					}
This is a Single Comment:  Nested Conditional statements 
pag					pag
(					(
a			ID
*					*
b			ID
>					>
B			ID
)					)
{					{
pag					pag
(					(
a			ID
<					<
b			ID
+					+
c			ID
)					)
limbag				limbag
(					(
"what"		Literal
)					)
;					;
}					}
kapagdi				kapagdi
a			ID
*					*
b			ID
)					)
{					{
pag					pag
(					(
a			ID
<					<
b			ID
)					)
limbag				limbag
(					(
"what"		Literal
)					)
;					;
}					}
pag					pag
(					(
a			ID
*					*
b			ID
)					)
{					{
pag					pag
(					(
a			ID
<					<
b			ID
)					)
limbag				limbag
(					(
"what"		Literal
)					)
;					;
}					}
This is a Single Comment: error recovery??
This is a Single Comment: no pair in the 'numero >'
para				para
(					(
int					int
numero			ID
=					=
0				Intedyer
;					;
numero			ID
>					>
;					;
++					++
numero			ID
)					)
{					{
limbag				limbag
(					(
"Ang numero ay:"		Literal
)					)
;					;
}					}
pag					pag
(					(
numero			ID
+					+
5				Intedyer
{					{
This is a Single Comment: kulang ng )
limbag				limbag
(					(
"tumpak"		Literal
;					;
This is a Single Comment:  kulang din ng )
limbag				limbag
(					(
"tumpak"		Literal
)					)
This is a Single Comment:  kulang ng ;
This is a Single Comment:  kulang ng }
kapagdi				kapagdi
4				Intedyer
+					+
5				Intedyer
)					)
This is a Single Comment:  misssing one term    
limbag				limbag
(					(
"tumpak"		Literal
)					)
This is a Single Comment: kulang ng ;
